Lexeme	Similarity_Set	Alibeglo1	Arkhit1	Arkhit2	Arkhit3	Arkhit4	Arkhit5	Arkhit6	Bezhta1	D_Agul	D_Arabic	D_Avar	D_Azerbaijani	D_Bezhta1	D_Botlikh	D_Chechen	D_Gagatli	D_Georgian	D_Hinuq	D_Karata	D_Kumyk	D_Lezgian	D_Russian	D_Rutul	D_Tabasaran	D_Tsez	Darvag1	Darvag2	Darvag3	Darvag4	Darvag7	Darvag5	Darvag6	Dyubek1	Dyubek2	Dyubek3	Dyubek4	Dzhavgat1	Dzhavgat2	Dzhavgat3	Dzhavgat4	Dzhibakhni1	Dzhibakhni2	Dzhibakhni3	Dzhibakhni4	Helmets1	Helmets2	Helmets3	Ikhrek1	Ikhrek2	Ikhrek3	Ikhrek4	Ilisu1	Karata1	Karata2	Karata3	Karata4	Khapil1	Khapil2	Khapil3	Khapil4	Khapil5	Khiv1	Khiv2	Khiv3	Khiv4	Khlut1	Khlut2	Khlut3	Khlut4	Khlut5	Khoredzh1	Khoredzh2	Khoredzh3	Khoredzh4	Khoredzh5	Khoredzh6	Khutkhul1	Khutkhul2	Khutkhul3	Khutkhul4	Kiche1	Kiche2	Kidero1	Kidero2	Kidero3	Kina1	Kina2	Kina3	Kurag1	Laka1	Laka2	Laka3	Laka4	Laka5	Laka6	Meshabash1	Meshabash2	Mikik1	Mikik2	Qax1	Qax2	Qax3	Qax4	Qax5	Qax6	Qax7	Qax8	Qax9	Qum1	Qum2	Rikvani1	Rutul1	Tad-Magitl1	Tad-Magitl2	Tatil1	Tatil2	Tatil3	Tatil4	Tatil5	Tpig1	Tsinit1	Tsinit2	Tsinit3	Tsinit4	Tsinit5	Tukita1	Yagdyg1	Yagdyg2	Yagdyg3	Yagdyg4	Yagdyg5	Yagdyg6	Yersi1	Yersi2	Yersi3	Yersi4	Zilo1	Zilo2	D_Persian	D_Archi	D_Bezhta2
the_cattle	2	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	NA	0	0	NA	0	0	0	1	1	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
the_cattle	3	1	0	0	0	0	0	0	0	NA	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	NA	1	1	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
the_cattle	4	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
the_cattle	5	0	0	0	0	0	0	1	1	NA	0	1	0	1	0	NA	0	NA	1	0	0	0	0	0	0	1	0	1	0	0	NA	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	NA	0	0	NA	0	0	0	0	1	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
the_cattle	6	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
the_cattle	7	1	0	0	0	0	0	0	0	NA	0	0	1	0	0	NA	0	NA	0	0	1	1	0	1	1	0	0	0	0	1	NA	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	1	NA	0	0	NA	1	1	1	0	1	0	0	NA	NA	0	1	0	0	0	0	0	0	0	1	0	NA	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
the_cattle	8	0	0	0	0	0	0	0	0	NA	1	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
the_cattle	9	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
the_cattle	10	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	NA	0	0	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
the_cattle	11	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
the_cattle	12	0	0	0	0	0	0	0	0	NA	0	1	0	0	1	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	NA	0	0	0	0	0	1	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
the_cattle	13	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	NA	1	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	NA	0	0	0	0	0	1	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
the_cattle	14	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
the_cattle	15	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
the_cattle	16	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	NA	0	0	0	0	0	0	1	NA	NA	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
the_cattle	17	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	NA	0	NA	0	0	0	0	0	1	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
the_cattle	18	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
the_cattle	19	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
the_cattle	20	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	NA	0	NA	0	0	0	0	1	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
the_cattle	21	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
the_cattle	22	0	1	1	1	1	1	0	0	NA	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	1	1	1	NA	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	NA	NA	NA	0	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	1	0	1	1	1	1	1	1	1	0	0	1	0	0	0	NA	0	0	NA	0	0	0	0	0	0	0	NA	NA	1	0	1	1	1	1	1	1	1	0	1	NA	0	1	0	1	1	1	0	0	1	1	0	0	0	0	0
the_cattle	23	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
the_cattle	24	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	1	0	0	1	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	1	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
the_cattle	25	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
the_cattle	26	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	NA	0	NA	0	0	1	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
the_cattle	27	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	NA	0	NA	0	1	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
the_cattle	29	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	NA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
the_cave	1	0	1	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	NA	0	0	0	NA	1	0	0	1	0	0	NA	1	0	0	NA	0	NA	0	0	0	0	NA	0	0	0	0	0	0	NA	NA	0	0	1	0	NA	0	NA	0	0	0	0	0	0	NA	0	1	0	0	NA	1	0	NA	NA	0	1	0	0	0	0	1	0	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	0	NA	0	0	0	0	0	1	1	1	NA	NA	0	1	1	1	NA	NA	0	NA	NA	NA	NA	0	0	0	NA	0	1	1	1	1	1	NA	0	NA	1	NA	0	0	1	1	NA	0	0	0	1	0	0
the_cave	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	NA	0	0	0	0	0	0	NA	0	0	0	NA	0	NA	0	0	0	0	NA	0	0	0	0	0	0	NA	NA	0	0	0	0	NA	0	NA	0	0	0	0	0	0	NA	0	0	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	0	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	0	NA	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	NA	NA	0	NA	NA	NA	NA	0	0	0	NA	0	0	0	0	0	0	NA	0	NA	0	NA	0	0	0	0	NA	0	0	0	1	0	0
the_cave	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	1	0	NA	0	0	0	0	0	0	NA	0	0	0	NA	0	NA	0	0	0	0	NA	0	0	0	0	0	0	NA	NA	0	0	0	0	NA	0	NA	0	0	0	0	0	0	NA	0	0	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	0	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	0	NA	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	NA	NA	0	NA	NA	NA	NA	0	0	0	NA	0	0	0	0	0	0	NA	0	NA	0	NA	0	0	0	0	NA	0	0	0	1	0	0
the_cave	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	NA	0	0	0	0	0	0	NA	0	0	0	NA	0	NA	0	0	0	0	NA	0	0	0	0	0	0	NA	NA	0	0	0	0	NA	0	NA	0	0	0	0	0	0	NA	0	0	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	0	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	0	NA	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	NA	NA	0	NA	NA	NA	NA	0	0	0	NA	0	0	0	0	0	0	NA	0	NA	0	NA	0	0	0	0	NA	0	0	0	1	0	0
the_cave	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	0	0	0	NA	0	0	0	0	0	0	NA	0	0	0	NA	0	NA	0	0	0	0	NA	0	0	0	0	0	0	NA	NA	0	0	0	0	NA	0	NA	0	0	0	0	0	0	NA	0	0	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	0	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	0	NA	0	1	1	0	0	0	0	0	NA	NA	1	0	0	0	NA	NA	0	NA	NA	NA	NA	0	0	0	NA	0	0	0	0	0	0	NA	0	NA	0	NA	0	0	0	0	NA	0	0	0	0	0	0
the_cave	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	NA	0	0	0	NA	1	0	0	0	0	0	NA	0	0	1	NA	1	NA	0	0	0	0	NA	0	0	0	0	0	0	NA	NA	0	0	0	0	NA	0	NA	1	1	0	1	0	0	NA	0	0	0	0	NA	0	0	NA	NA	0	0	1	0	0	0	0	0	NA	NA	NA	0	0	1	0	0	0	NA	NA	NA	0	NA	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	NA	NA	0	NA	NA	NA	NA	1	1	0	NA	0	0	0	0	0	0	NA	0	NA	0	NA	1	0	0	0	NA	0	0	0	1	0	0
the_cave	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	NA	0	0	0	0	0	0	NA	0	0	0	NA	0	NA	0	0	0	0	NA	0	0	0	0	0	0	NA	NA	0	0	0	0	NA	0	NA	0	0	0	0	0	0	NA	0	0	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	0	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	0	NA	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	NA	NA	0	NA	NA	NA	NA	0	0	0	NA	0	0	0	0	0	0	NA	0	NA	0	NA	0	0	0	0	NA	0	0	0	1	0	0
the_cave	8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	NA	0	0	0	NA	0	0	0	0	0	0	NA	0	0	0	NA	0	NA	0	0	0	0	NA	0	0	0	0	0	0	NA	NA	0	0	0	0	NA	0	NA	0	0	0	0	0	0	NA	0	0	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	0	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	0	NA	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	NA	NA	0	NA	NA	NA	NA	0	0	0	NA	0	0	0	0	0	0	NA	0	NA	0	NA	0	0	0	0	NA	0	0	0	1	0	0
the_cave	9	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	NA	1	0	0	NA	0	0	0	0	0	0	NA	0	0	0	NA	0	NA	0	0	0	0	NA	0	0	0	0	0	0	NA	NA	0	0	0	0	NA	0	NA	0	0	0	0	0	0	NA	0	0	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	0	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	0	NA	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	NA	NA	0	NA	NA	NA	NA	0	0	0	NA	0	0	0	0	0	0	NA	0	NA	0	NA	0	0	0	0	NA	0	0	0	0	1	1
the_cave	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	NA	0	0	0	0	0	0	NA	0	0	0	NA	0	NA	0	0	0	0	NA	0	0	0	0	0	0	NA	NA	0	0	0	0	NA	0	NA	0	0	0	0	0	0	NA	0	0	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	0	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	0	NA	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	NA	NA	0	NA	NA	NA	NA	0	0	0	NA	0	0	0	0	0	0	NA	0	NA	0	NA	0	0	0	0	NA	0	0	0	1	0	0
the_cave	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	NA	0	0	0	0	0	0	NA	0	0	0	NA	0	NA	0	0	0	0	NA	0	0	0	0	0	0	NA	NA	0	0	0	0	NA	0	NA	0	0	0	0	0	0	NA	0	0	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	0	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	0	NA	0	0	0	0	0	0	0	0	NA	NA	0	1	0	0	NA	NA	0	NA	NA	NA	NA	0	0	0	NA	0	0	0	0	0	0	NA	0	NA	0	NA	0	0	0	0	NA	0	0	0	0	0	0
the_cave	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	NA	0	0	0	0	0	0	NA	0	0	0	NA	0	NA	0	0	0	0	NA	0	0	0	0	0	0	NA	NA	1	0	0	0	NA	0	NA	0	0	0	0	0	0	NA	0	0	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	0	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	0	NA	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	NA	NA	0	NA	NA	NA	NA	0	0	0	NA	0	0	0	0	0	0	NA	0	NA	0	NA	0	0	0	0	NA	0	0	0	0	0	0
the_cave	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	NA	0	0	0	0	0	0	NA	0	0	0	NA	0	NA	0	0	0	0	NA	0	0	0	0	0	0	NA	NA	0	0	0	0	NA	0	NA	0	0	0	0	0	1	NA	0	0	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	0	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	0	NA	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	NA	NA	0	NA	NA	NA	NA	0	0	0	NA	0	0	0	0	0	0	NA	0	NA	0	NA	0	0	0	0	NA	0	0	0	0	0	0
the_cave	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	NA	0	0	0	0	0	0	NA	0	0	0	NA	0	NA	0	1	0	1	NA	1	0	0	0	0	0	NA	NA	0	0	0	0	NA	0	NA	0	0	1	0	0	0	NA	1	1	0	0	NA	0	0	NA	NA	1	0	0	1	0	0	0	0	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	1	NA	1	0	0	0	0	0	0	0	NA	NA	0	0	0	0	NA	NA	0	NA	NA	NA	NA	0	0	0	NA	0	0	0	0	0	0	NA	0	NA	0	NA	0	0	0	0	NA	0	0	0	0	0	0
the_cave	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	NA	0	0	0	NA	0	1	0	0	0	0	NA	0	0	0	NA	0	NA	0	0	0	0	NA	0	0	0	0	0	0	NA	NA	0	0	0	0	NA	0	NA	0	0	0	0	0	0	NA	0	0	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	0	NA	NA	NA	0	1	0	0	0	0	NA	NA	NA	0	NA	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	NA	NA	0	NA	NA	NA	NA	0	0	0	NA	0	0	0	0	0	0	NA	0	NA	0	NA	0	0	0	0	NA	0	0	0	0	0	0
